Month,Monthly harmonized consumer price index in Finland 2020-2023
Jan 2020,103.72
Feb 2020,104.2
Mar 2020,104.03
Apr 2020,103.58
May 2020,103.52
Jun 2020,103.77
Jul 2020,104.07
Aug 2020,104.09
Sep 2020,104.11
Oct 2020,104.22
Nov 2020,104.1
Dec 2020,104.3
Jan 2021,104.76
Feb 2021,105.12
Mar 2021,105.44
Apr 2021,105.85
May 2021,105.88
Jun 2021,105.75
Jul 2021,105.97
Aug 2021,106.0
Sep 2021,106.26
Oct 2021,107.14
Nov 2021,107.72
Dec 2021,107.6
Jan 2022,109.1
Feb 2022,109.73
Mar 2022,111.54
Apr 2022,111.98
May 2022,113.43
Jun 2022,114.31
Jul 2022,114.49
Aug 2022,114.37
Sep 2022,115.2
Oct 2022,116.13
Nov 2022,117.48
Dec 2022,117.06
Jan 2023,117.69
Feb 2023,118.46
Mar 2023,118.98
Apr 2023,119.05
May 2023,119.14
Jun 2023,118.96
Jul 2023,119.28
