Month,Monthly harmonized consumer price index in Poland 2020-2023
Jan 2020,106.9
Feb 2020,107.5
Mar 2020,107.7
Apr 2020,107.7
May 2020,108.6
Jun 2020,109.2
Jul 2020,109.1
Aug 2020,109.0
Sep 2020,109.2
Oct 2020,109.5
Nov 2020,109.5
Dec 2020,109.8
Jan 2021,110.8
Feb 2021,111.4
Mar 2021,112.4
Apr 2021,113.2
May 2021,113.6
Jun 2021,113.7
Jul 2021,114.2
Aug 2021,114.5
Sep 2021,115.3
Oct 2021,116.5
Nov 2021,117.6
Dec 2021,118.6
Jan 2022,120.4
Feb 2022,120.4
Mar 2022,123.9
Apr 2022,126.1
May 2022,128.1
Jun 2022,129.9
Jul 2022,130.4
Aug 2022,131.4
Sep 2022,133.4
Oct 2022,135.6
Nov 2022,136.5
Dec 2022,136.8
Jan 2023,139.5
Feb 2023,141.1
Mar 2023,142.7
Apr 2023,143.8
May 2023,144.1
Jun 2023,144.2
Jul 2023,143.8
