Month,Monthly HICP for energy in Germany 2019-2023
Jan '19,101.5
Feb '19,101.7
Mar '19,102.4
Apr '19,104.4
May '19,106.1
Jun '19,104.9
Jul '19,104.7
Aug '19,103.8
Sep '19,103.8
Oct '19,103.8
Nov '19,103.7
Dec '19,103.6
Jan '20,104.9
Feb '20,103.9
Mar '20,101.6
Apr '20,98.6
May '20,97.4
Jun '20,98.7
Jul '20,98.0
Aug '20,97.6
Sep '20,96.9
Oct '20,97.0
Nov '20,96.0
Dec '20,97.4
Jan '21,102.6
Feb '21,104.1
Mar '21,106.2
Apr '21,106.1
May '21,106.7
Jun '21,107.6
Jul '21,109.0
Aug '21,109.4
Sep '21,110.1
Oct '21,114.6
Nov '21,116.7
Dec '21,115.0
Jan '22,123.7
Feb '22,127.4
Mar '22,146.1
Apr '22,142.7
May '22,146.7
Jun '22,147.8
Jul '22,147.8
Aug '22,148.6
Sep'22,158.8
Oct'22,164.5
Nov'22,163.5
Dec'22,143.9
Jan'23,154.8
Feb'23,154.9
Mar '23,155.0
Apr '23,156.1
