Month,Monthly HICP for energy in Greece 2019-2023
Jan '19,102.91
Feb '19,104.07
Mar '19,106.5
Apr '19,108.75
May '19,107.77
Jun '19,106.33
Jul '19,106.8
Aug '19,107.02
Sep '19,107.55
Oct '19,106.72
Nov '19,106.67
Dec '19,107.25
Jan '20,107.87
Feb '20,105.42
Mar '20,100.25
Apr '20,93.23
May '20,90.66
Jun '20,92.09
Jul '20,93.3
Aug '20,93.31
Sep '20,93.24
Oct '20,94.28
Nov '20,94.22
Dec '20,95.62
Jan '21,97.36
Feb '21,99.44
Mar '21,102.12
Apr '21,102.34
May '21,102.62
Jun '21,103.15
Jul '21,104.57
Aug '21,105.13
Sep '21,105.52
Oct '21,118.27
Nov '21,127.66
Dec '21,128.91
Jan '22,136.75
Feb '22,143.17
Mar '22,154.39
Apr '22,161.29
May '22,165.18
Jun '22,165.66
Jul '22,161.49
Aug '22,158.08
Sep'22,162.32
Oct'22,142.77
Nov'22,142.59
Dec'22,134.96
Jan'23,137.71
Feb'23,134.86
Mar '23,131.66
Apr '23,132.27
May '23,130.34
