Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.07653809,93.2246933,95.66899872,100.014801,100.4093018,100.6495438,101.7298126,106.271431,110.6368027,100.0826035,100.0672607,97.02655792,97.36077881,114.8635712,,,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,17.07037926,17.09107018,17.40032005,17.58003998,17.70340919,18.23669052,18.69688034,19.13015938,19.72333908,20.3286705,21.0221405,21.53301048,22.38080025,23.02886009,23.73714066,24.50395966,24.73617935,24.76531029,24.66160011,24.1962204,24.41287041,24.77568054,24.41506004,24.5828495,25.03417969,25.86819077,26.20082092,26.31945038,27.1694603,27.43392944,27.6038208,28.61103058,29.27996063,29.88281059,31.30595016,32.30163956,33.87070084,35.3495903,36.85681915,38.04003143,39.03247833,39.7404213,40.80603027,41.76274872,42.61695099,42.63085175,42.78144836,43.09072876,43.19384003,43.43719864,43.80212021,,
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,8.885660172,9.951709747,11.04039001,11.57861996,11.73925972,12.25712013,13.15845966,13.99915028,14.58380032,,17.61152077,21.28581047,13.31906986,,15.00018024,14.68593025,13.22401047,,14.66781044,14.12611961,12.30937958,19.61260033,,18.65443993,24.99473953,23.98821068,,,,,,14.47150993,,14.07804966,19.26313972,20.31196022,29.69135094,29.08917046,39.09003067,44.39717102,50.41368866,52.19842911,54.20639038,54.75421906,54.23548126,53.28514099,53.50634003,55.4021492,57.03929901,,,,
Africa Western and Central,AFW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,7.98913002,8.226059914,8.666769981,9.165829659,9.471260071,9.934189796,10.46490955,11.06700039,12.12963963,13.37652016,15.10894012,17.16930008,19.2364006,21.3491993,23.15331078,23.41597939,22.19524002,22.18541908,21.80594063,20.73176003,20.9771595,21.04987907,21.15015984,21.1847496,21.22400093,21.28230095,21.32550049,21.30256081,21.43416977,21.68856049,22.74391937,24.4286499,25.85000038,27.65838051,29.32608032,30.12125015,30.40473938,30.60569,33.1533699,35.75378036,38.94194031,40.80102921,42.28150177,47.1461792,43.15864944,44.37120056,42.94657898,43.09468079,43.39065933,44.29557037,45.15074921,45.85042953,45.42092896
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,5.798699856,6.445899963,7.247270107,,,,,8.023889542,,10.33164978,13.37814999,9.575240135,8.819979668,11.1124897,9.619890213,11.01323032,10.69913006,9.015390396,9.958569527,9.180239677,9.680000305,10.88276005,,,,,,11.39118004,11.29327011,12.85634041,14.46280956,15.61305046,,,,,,22.31722069,23.85004997,27.68209076,27.93120003,,,,,53.58145142,,,,,,
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,72.7228775,,75.04802704,77.05283356,79.19410706,80.51273346,77.27787018,73.21360779,73.95793915,77.4923172,81.48670197,82.58374023,85.25343323,87.24497986,89.91551208,91.41584778,77.95910645,70.02433777,67.86612701,67.46025848,66.7441864,67.09274292,68.6502533,69.28466797,69.75245667,72.41678619,73.94577026,77.60999298,78.32572937,82.55780792,84.66513062,87.14698792,89.08133698,90.31349182,93.95288849,97.44399261,99.70027161,103.7651596,104.2880325,103.0848999,100.2199783,99.30895996,99.85478973,99.24539948,96.16747284,96.88622284,95.70340729
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,23.7221508,21.79680061,19.82954979,24.27713966,35.61169815,46.33887863,,,,,,,60.77294922,,,,,,,,,,,,,,,,,,,76.68952179,76.06572723,76.21951294,86.08615875,86.14659882,84.92327881,85.18026733,86.72722626,89.98004913,93.69226837,92.28070068,90.96566772,91.87406921,92.54579926,94.2090683,94.36975098,95.09059906,95.68405914,96.4627533,97.32523346,97.48903656
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,25.60569,25.76473045,26.23139,27.18342018,28.03540039,29.45549011,31.09737968,33.05097961,34.81589127,36.2759285,37.55733109,38.58145142,40.2227211,41.3920517,42.71266174,44.21800995,46.14234924,47.07653046,47.42768097,48.10390854,50.8580513,51.06169891,50.18394089,50.88591003,52.87849045,52.88874817,52.72005081,53.94472885,55.39009094,56.76454163,58.10848999,59.66032028,60.76517868,62.56858826,64.30448914,64.36190796,64.16181183,62.95183182,63.22819138,64.80130005,65.62851715,67.73570251,68.42298889,66.92449188,67.04992676,67.83014679,67.87610626,68.26947784,68.51789856,68.8884964,68.98695374,69.76571655,70.25914001
United Arab Emirates,ARE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,12.5335598,14.6718998,15.3676796,14.77058983,19.07896042,30.17246056,31.81418037,33.65555954,38.70769119,45.31689072,51.44092178,54.99261856,57.80899811,61.4397316,64.09928894,65.92054749,55.66664886,52.34476852,52.30554962,54.37313843,58.67913055,62.54492188,67.45329285,73.82054138,78.7071228,,67.75669098,62.62870026,,,,,,,,,,,,,,,,,,81.50978851,105.1973572,,120.5307388,120.353653,,
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,44.70962143,45.64210892,47.47270966,49.93970871,52.76239014,54.38755035,55.88048172,55.62667847,55.34373093,54.96628952,55.65438843,56.83385849,58.73199081,59.59236908,65.26048279,70.21035767,70.23777771,69.91692352,70.39897919,,72.40821838,73.74807739,,,71.08656311,,78.97640228,74.94843292,81.11338043,92.76284027,96.62178802,98.0622406,97.46813202,96.50583649,95.99761963,94.18666077,92.96173096,92.61042023,93.50382233,96.6370163,99.23000336,100.9938431,102.7823029,104.5967484,106.0921326,107.5490723,109.6459427,110.4124069,109.6969986,110.4985275,112.4166794,116.5594482,
