Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3620981,175.3441296,168.781911,163.2673599,164.5590143,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,161.8912803,162.8820521,145.8336633,142.2397634,143.8042955,145.2135524,145.3435727,124.1623751,139.9000872,160.4592566
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.09371312,41.17540793,41.80014648,44.72150761,47.01734413,49.00787022,48.75319534,46.55277096,47.44046231,45.45943893,47.13134121,48.48164833,59.75360062,57.12422059,58.02916339,60.46005406,60.96210556,67.08780228,74.80990387,63.93126024,63.56645592,64.42348092,61.65961061,61.65233603,59.89428062,54.72131179,51.77752967,51.53528256,54.25624496,51.63158051,49.47862506,54.70002957,57.15948251
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,33.21939422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3017426,103.9012296,103.5799471,106.5909621,94.62515933,108.0600679,121.3647085,122.4461441,104.1236353,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682223,66.37801333,57.82953812,65.94202893,74.46449859,68.17010045
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,47.61059487,44.89544472,45.42555625,48.13753482,51.01103036,63.45407313,66.49102403,68.52506822,67.02056104,67.04718731,70.87234678,74.26709024,83.20208011,77.4517515,75.0949144,76.54339024,81.21856893,76.51020062,75.87371385,75.4078456,71.80100634,74.80986282,78.19424953,76.80818413,76.27919465,59.82972943,76.01798211,85.14968052
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.8081337,60.33153025,63.16049155,83.32583626,74.69838966,83.34008882,77.20452534,81.63931553,79.77648751,82.10624124,86.80693107,88.56863797,84.26291102,75.99751761,72.32486602,64.87558862,57.21072417,59.46241524,61.41125652,66.25225276,65.329541,68.90216054,64.09582751,59.93690956,58.37194055,61.98515052,61.49879394,69.57669276,67.87800572,67.89855005,72.38413539,73.85316098,74.17796931,80.82396285,85.17285361,89.30236569,89.62601478,93.63861032,97.54202612,89.65448365,86.41093389,89.33906085,90.98230648,90.15213888,88.13995152,83.66008138,77.93105719,81.6549686,81.67603411,81.37545014,73.33862938,61.16253507,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,138.8920969,147.392662,159.9704706,161.1004825,164.0295099,169.4762367,170.9030878,172.803425,157.9205731,167.3835649,166.5718993,,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,32.93002425,31.65051398
