Year,Month,location,total_deaths,total_cases_per_million,new_cases_smoothed_per_million,stringency_index,weekly_hosp_admissions_per_million,Date,HICP,continent
2020,1,Argentina,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Bolivia,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Brazil,0.0,0.005,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Canada,0.0,0.39,0.004,0.0,,2020-01-01 00:00:00,,
2020,1,Chile,0.0,0.051,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Colombia,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Costa Rica,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Dominican Republic,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Ecuador,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Guatemala,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Honduras,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Jamaica,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Mexico,0.0,0.047,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Nicaragua,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Panama,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Paraguay,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,Peru,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,1,United States,1.0,0.216,0.003,0.0,,2020-01-01 00:00:00,,
2020,1,Uruguay,0.0,0.0,0.0,0.0,,2020-01-01 00:00:00,,
2020,2,Argentina,0.0,0.0,0.0,11.11,,2020-02-01 00:00:00,,
2020,2,Bolivia,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Brazil,0.0,0.0,0.0,5.56,,2020-02-01 00:00:00,,
2020,2,Canada,0.0,0.234,0.007,2.78,,2020-02-01 00:00:00,,
2020,2,Chile,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Colombia,0.0,0.0,0.0,8.33,,2020-02-01 00:00:00,,
2020,2,Costa Rica,0.0,0.0,0.0,11.11,,2020-02-01 00:00:00,,
2020,2,Dominican Republic,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Ecuador,0.0,0.0,0.0,5.56,,2020-02-01 00:00:00,,
2020,2,Guatemala,0.0,0.0,0.0,11.11,,2020-02-01 00:00:00,,
2020,2,Honduras,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Jamaica,0.0,0.0,0.0,19.44,,2020-02-01 00:00:00,,
2020,2,Mexico,0.0,0.008,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Nicaragua,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,Panama,0.0,0.0,0.0,8.33,,2020-02-01 00:00:00,,
