date,HICP,location,total_deaths,stringency_index,total_cases_per_million,human_development_index
2020-01,-0.48509054080207376,France,0.0,0.0,0.248,0.901
2020-02,-0.4829233944329669,France,0.0,5.56,0.248,0.901
2020-03,-0.47786671957171734,France,713.0,56.94,0.248,0.901
2020-04,-0.4793114838177892,France,12062.0,87.96,0.248,0.901
2020-05,-0.4670309877261843,France,17992.0,76.85,77.878,0.901
2020-06,-0.4605295486188638,France,19131.5,72.22,231.70800000000003,0.901
2020-07,-0.4294671173283334,France,19322.0,46.3,280.565,0.901
2020-08,-0.4381357028047607,France,19972.0,48.15,1046.148,0.901
2020-09,-0.4807562480638601,France,20585.0,48.61,3747.666,0.901
2020-10,-0.4829233944329669,France,21573.0,49.54,6006.642,0.901
2020-11,-0.4663086056031483,France,38996.0,78.7,28167.664,0.901
2020-12,-0.44824905252725883,France,57032.0,63.89,33445.21,0.901
2021-01,-0.42802235308226255,France,76746.0,63.89,43301.968,0.901
2021-02,-0.4251328245901208,France,88382.0,60.19,50869.468,0.901
2021-03,-0.3723989296085233,France,94438.0,68.52,56980.464,0.901
2021-04,-0.3565065229017406,France,106179.0,75.0,76090.668,0.901
2021-05,-0.33050076647245985,France,111795.0,63.89,82494.561,0.901
2021-06,-0.316775506134784,France,113487.0,53.995000000000005,84566.122,0.901
2021-07,-0.31171883127353445,France,114439.0,42.84,86258.769,0.901
2021-08,-0.258262554168902,France,115433.0,44.73,94913.499,0.901
2021-09,-0.27415496087568464,France,116596.0,43.31,98715.26,0.901
2021-10,-0.23948061896997655,France,118706.0,41.73,103213.623,0.901
2021-11,-0.2069734234333753,France,119682.0,41.025,106589.615,0.901
2021-12,-0.18891387035748583,France,121975.0,43.97,121150.286,0.901
2022-01,-0.17663337426588085,France,130121.0,47.86,246892.395,0.901
2022-02,-0.10583992620839489,France,136038.0,44.370000000000005,324191.822,0.901
2022-03,0.022021709568903296,France,141820.0,18.83,359987.224,0.901
2022-04,0.05958557996675311,France,145432.5,18.82,419277.68850000005,0.901
2022-05,0.12098806042477689,France,148573.0,18.81,439238.076,0.901
2022-06,0.19105912635922795,France,149704.0,18.81,450892.221,0.901
2022-07,0.21562011854243787,France,151999.0,18.8,501929.081,0.901
2022-08,0.2553511353093945,France,153643.0,11.11,512649.307,0.901
2022-09,0.21273059005029613,France,155140.0,11.11,522615.06,0.901
2022-10,0.3153088515213474,France,156302.0,11.11,543015.213,0.901
2022-11,0.3507055755500914,France,158161.0,11.11,556573.139,0.901
2022-12,0.3427593721967001,France,159085.0,11.11,564546.958,0.901
2023-01,0.3803232425945499,France,163756.0,0.0,592102.831,0.901
2023-02,0.47640006495828174,France,166079.0,0.0,597984.354,0.901
2023-03,0.5638083018455874,France,165869.0,0.0,597098.001,0.901
2023-04,0.6208764895653975,France,166709.0,0.0,600404.889,0.901
2023-05,0.614375050458077,France,167357.0,0.0,601891.196,0.901
2023-06,0.6324346035339665,France,167985.0,0.0,603427.621,0.901
2023-07,0.6367688962721801,France,167985.0,0.0,603427.621,0.901
2023-08,0.732845718635912,France,167985.0,0.0,603427.621,0.901
2023-09,0.6822789700234223,France,167985.0,0.0,603427.621,0.901
2023-10,0.697448994607169,France,167985.0,0.0,603427.621,0.901
2020-01,-0.6915184874879521,Belgium,0.0,0.0,0.086,0.931
2020-02,-0.6986038704496411,Belgium,0.0,11.11,0.086,0.931
