date,HICP,location,total_deaths,stringency_index,total_cases_per_million,new_cases_smoothed_per_million,weekly_hosp_admissions_per_million,continent,Year,Month
2020-01,0.11118636948892288,France,0.0,0.0,0.248,0.007,,Europe,2020,1
2020-02,0.11184695661801411,France,0.0,5.56,0.248,0.007,,Europe,2020,2
2020-03,0.11338832658589373,France,713.0,56.94,0.248,0.0,278.413,Europe,2020,3
2020-04,0.11294793516649938,France,12062.0,87.96,0.248,0.0,222.1845,Europe,2020,4
2020-05,0.11669126223134957,France,17992.0,76.85,77.878,1.497,47.69,Europe,2020,5
2020-06,0.11867302361862325,France,19131.5,72.22,231.70800000000003,7.595,11.679,Europe,2020,6
2020-07,0.1281414391355973,France,19322.0,46.3,280.565,6.068,9.526,Europe,2020,7
2020-08,0.1254990906192324,France,19972.0,48.15,1046.148,55.722,14.864,Europe,2020,8
2020-09,0.11250754374710534,France,20585.0,48.61,3747.666,135.795,41.946,Europe,2020,9
2020-10,0.11184695661801411,France,21573.0,49.54,6006.642,160.281,101.839,Europe,2020,10
2020-11,0.11691145794104675,France,38996.0,78.7,28167.664,254.09,252.3335,Europe,2020,11
2020-12,0.12241635068347342,France,57032.0,63.89,33445.21,171.698,127.911,Europe,2020,12
2021-01,0.12858183055499134,France,76746.0,63.89,43301.968,262.7,143.91,Europe,2021,1
2021-02,0.12946261339377943,France,88382.0,60.19,50869.468,259.846,146.55,Europe,2021,2
2021-03,0.14553690020166546,France,94438.0,68.52,56980.464,406.341,150.709,Europe,2021,3
2021-04,0.1503812058150009,France,106179.0,75.0,76090.668,446.861,198.981,Europe,2021,4
2021-05,0.15830825136409532,France,111795.0,63.89,82494.561,184.477,83.701,Europe,2021,5
2021-06,0.16249196984833955,France,113487.0,53.995000000000005,84566.122,59.692,27.110999999999997,Europe,2021,6
2021-07,0.16403333981621918,France,114439.0,42.84,86258.769,106.23,17.475,Europe,2021,7
2021-08,0.18032782233380207,France,115433.0,44.73,94913.499,295.259,77.95,Europe,2021,8
2021-09,0.1754835167204666,France,116596.0,43.31,98715.26,103.31,43.605000000000004,Europe,2021,9
2021-10,0.18605291078592592,France,118706.0,41.73,103213.623,68.735,21.854,Europe,2021,10
2021-11,0.195961717722294,France,119682.0,41.025,106589.615,264.599,36.704,Europe,2021,11
2021-12,0.2014666104647207,France,121975.0,43.97,121150.286,797.221,125.551,Europe,2021,12
2022-01,0.2052099375295709,France,130121.0,47.86,246892.395,4336.806,239.128,Europe,2022,1
2022-02,0.22678911707988328,France,136038.0,44.370000000000005,324191.822,1685.0484999999999,212.48149999999998,Europe,2022,2
2022-03,0.2657637576962644,France,141820.0,18.83,359987.224,1296.078,109.006,Europe,2022,3
2022-04,0.27721393460051186,France,145432.5,18.82,419277.68850000005,1191.815,156.9905,Europe,2022,4
2022-05,0.29593056992476247,France,148573.0,18.81,439238.076,327.315,76.357,Europe,2022,5
2022-06,0.317289553765378,France,149704.0,18.81,450892.221,658.568,52.91,Europe,2022,6
2022-07,0.32477620789507833,France,151999.0,18.8,501929.081,1009.546,135.977,Europe,2022,7
2022-08,0.336886971928417,France,153643.0,11.11,512649.307,334.197,60.741,Europe,2022,8
2022-09,0.32389542505629026,France,155140.0,11.11,522615.06,510.033,40.14,Europe,2022,9
2022-10,0.35516321583327354,France,156302.0,11.11,543015.213,866.677,104.08,Europe,2022,10
2022-11,0.36595280560843,France,158161.0,11.11,556573.139,492.687,72.6265,Europe,2022,11
2022-12,0.36353065280176233,France,159085.0,11.11,564546.958,649.073,137.938,Europe,2022,12
2023-01,0.3749808297060097,France,163756.0,0.0,592102.831,70.057,51.259,Europe,2023,1
2023-02,0.40426685909571963,France,166079.0,0.0,597984.354,53.308,29.213,Europe,2023,2
2023-03,0.430910539969065,France,165869.0,0.0,597098.001,58.079,34.698,Europe,2023,3
2023-04,0.44830600103513313,France,166709.0,0.0,600404.889,98.3905,,Europe,2023,4
2023-05,0.44632423964785944,France,167357.0,0.0,601891.196,53.671,,Europe,2023,5
2023-06,0.45182913239028616,France,167985.0,0.0,603427.621,17.644,,Europe,2023,6
2023-07,0.4531503066484686,France,167985.0,0.0,603427.621,17.644,,Europe,2023,7
2023-08,0.48243633603817854,France,167985.0,0.0,603427.621,,,Europe,2023,8
2023-09,0.46702263635938407,France,167985.0,0.0,603427.621,,,Europe,2023,9
2023-10,0.47164674626302233,France,167985.0,0.0,603427.621,,,Europe,2023,10
2020-01,-0.5947461500457366,Belgium,0.0,0.0,0.086,0.0,,Europe,2020,1
2020-02,-0.706698366524934,Belgium,0.0,11.11,0.086,0.0,,Europe,2020,2
2020-03,-0.8746266912437303,Belgium,149.0,50.93,383.753,38.129,119.6815,Europe,2020,3
2020-04,-0.9865789077229277,Belgium,5866.0,81.48,3536.828,92.632,197.668,Europe,2020,4
2020-05,-1.0425550159625265,Belgium,9212.0,75.0,4943.581,26.976,39.465,Europe,2020,5
2020-06,-0.9306027994833289,Belgium,9635.0,51.85,5211.556500000001,15.1,12.311,Europe,2020,6
2020-07,-0.5107819876863384,Belgium,9697.0,51.85,5292.76,10.234,8.065,Europe,2020,7
